2020-09-13 12:50:25.070 UTC [1089] LOG:  checkpoint complete: wrote 2062 buffers (12.6%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.972 s, sync=0.005 s, total=15.002 s; sync files=14, longest=0.002 s, average=0.000 s; distance=20901 kB, estimate=20952 kB
2020-09-13 12:50:40.085 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:50:55.078 UTC [1089] LOG:  checkpoint complete: wrote 1868 buffers (11.4%); 0 WAL file(s) added, 0 removed, 2 recycled; write=14.961 s, sync=0.004 s, total=14.992 s; sync files=5, longest=0.002 s, average=0.000 s; distance=20535 kB, estimate=20910 kB
2020-09-13 12:51:10.090 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:51:25.083 UTC [1089] LOG:  checkpoint complete: wrote 2078 buffers (12.7%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.972 s, sync=0.007 s, total=14.992 s; sync files=14, longest=0.003 s, average=0.000 s; distance=20826 kB, estimate=20902 kB
2020-09-13 12:51:40.098 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:51:55.078 UTC [1089] LOG:  checkpoint complete: wrote 1865 buffers (11.4%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.961 s, sync=0.004 s, total=14.980 s; sync files=5, longest=0.002 s, average=0.000 s; distance=20530 kB, estimate=20865 kB
2020-09-13 12:52:10.094 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:52:25.089 UTC [1089] LOG:  checkpoint complete: wrote 2013 buffers (12.3%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.978 s, sync=0.004 s, total=14.995 s; sync files=13, longest=0.003 s, average=0.000 s; distance=18108 kB, estimate=20589 kB
2020-09-13 12:53:10.135 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:53:11.253 UTC [1089] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.106 s, sync=0.002 s, total=1.118 s; sync files=7, longest=0.002 s, average=0.000 s; distance=30 kB, estimate=18533 kB
~
